date,source,series_code,series_name,value
1988-06-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,22.0
1988-07-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1988-07-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,24.69
1988-07-01,ipea,br_ipca_ipea_index,IPCA geral - indice,4.86025677e-05
1988-07-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,21.9100827347729
1988-07-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,21.91
1988-08-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1988-08-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,22.63
1988-08-01,ipea,br_ipca_ipea_index,IPCA geral - indice,5.90958147e-05
1988-08-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,21.5899025433588
1988-08-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,21.59
1988-09-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1988-09-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,26.25
1988-09-01,ipea,br_ipca_ipea_index,IPCA geral - indice,7.53176493e-05
1988-09-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,27.4500566281219
1988-09-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,27.45
1988-10-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1988-10-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,29.79
1988-10-01,ipea,br_ipca_ipea_index,IPCA geral - indice,9.46139936e-05
1988-10-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,25.6199502763823
1988-10-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,25.62
1988-11-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1988-11-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,28.41
1988-11-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0001210492553
1988-11-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,27.9401182575175
1988-11-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,27.94
1988-12-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1988-12-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,30.24
1988-12-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0001557904426
1988-12-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,28.7000421554845
1988-12-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,28.7
